Ticks HealthyPersonsInTown InfectedPersonsInTown IncPeriodPersonsInTown IncPeriodPersonsInTown2 AntibioticTreatedPersonsInTown AntibioticTreatedPersonsInTown2 InfectedPersonsInHospital HealthyPersonsInHospital pGetInfectedTown AvMicResistance AvPathResistance 
21 9802 80 26 13 38 3 40 128 6.347344037797267E-4 0.003790097518407963 0.075
22 9805 77 24 12 39 2 41 127 5.859086804120555E-4 0.0038190006417910434 0.0847457627118644
23 9808 69 20 12 36 1 40 133 5.21071362634352E-4 0.003879491859701496 0.07339449541284404
24 9820 60 21 10 28 1 44 126 5.046346068791888E-4 0.0038545372985074626 0.0673076923076923
25 9819 59 16 9 30 4 41 131 4.070457905778225E-4 0.0037138123751243803 0.09
26 9842 48 12 5 27 4 38 122 2.7645529394771046E-4 0.0037226570646766155 0.09302325581395349
27 9853 39 11 6 21 1 39 119 2.7639939922592563E-4 0.003740188485572139 0.10256410256410256
28 9867 36 11 6 19 0 38 109 2.760923818179195E-4 0.0035912506557213898 0.13513513513513514
29 9867 35 10 5 19 1 35 113 2.436355273274731E-4 0.0034014062467661683 0.14285714285714285
30 9867 31 8 5 17 1 32 120 2.1123612103964639E-4 0.003266367182089549 0.1111111111111111
31 9873 24 7 5 12 0 27 126 1.9500689029779838E-4 0.0030972129751243764 0.11764705882352941
32 9876 20 4 2 12 2 30 124 9.751329796267737E-5 0.0029713344616915404 0.1
33 9869 15 2 1 8 4 27 139 4.881584361790041E-5 0.002784017095522387 0.047619047619047616
34 9867 13 1 3 7 2 22 148 6.511414282312114E-5 0.002593225041791045 0.0
35 9874 11 2 5 4 0 18 147 1.1389211223184266E-4 0.00237210836517413 0.034482758620689655
36 9885 9 1 4 4 0 17 139 8.127750797104773E-5 0.0021749985751243796 0.038461538461538464
37 9895 8 2 4 2 0 16 131 9.744437005338335E-5 0.0019865755960199005 0.08333333333333333
38 9896 8 2 4 2 0 14 132 9.743453116303062E-5 0.001776514775124378 0.09090909090909091
39 9901 6 2 2 1 1 11 132 6.493668427298242E-5 0.0016242601562189059 0.11764705882352941
40 9914 4 2 0 1 1 10 122 3.243233167435153E-5 0.0014596861950248753 0.07142857142857142
41 9919 3 1 1 1 0 8 120 3.241925675732901E-5 0.0012943224875621893 0.09090909090909091
42 9908 3 1 1 1 0 7 132 3.245523817437377E-5 0.0011686018676616916 0.0
43 9908 3 0 1 1 1 5 134 1.6227619087186886E-5 0.0010176107502487563 0.0
44 9912 3 0 1 1 1 4 131 1.6221072392648434E-5 8.993133402985076E-4 0.0
45 9913 3 0 2 1 0 4 130 3.24388730885658E-5 8.002846427860696E-4 0.0
46 9919 1 0 1 0 0 4 126 1.621289644890214E-5 7.173658716417909E-4 0.0
47 9922 1 0 1 0 0 2 125 1.6207994837560136E-5 5.816949840796019E-4 0.0
48 9927 1 0 1 0 0 2 120 1.6199832068201976E-5 4.94669767164179E-4 0.0
49 9939 1 0 1 0 0 2 108 1.6180274926872156E-5 4.1680509154228847E-4 0.0
50 9934 0 0 0 0 0 3 113 0.0 3.5584005373134317E-4 0.0
51 9925 0 0 0 0 0 3 122 0.0 2.8508272139303464E-4 0.0
52 9922 0 0 0 0 0 3 125 0.0 2.29487630845771E-4 0.0
53 9926 0 0 0 0 0 1 123 0.0 1.8652779900497506E-4 0.0
54 9926 0 0 0 0 0 1 123 0.0 1.5130706368159198E-4 0.0
55 9927 0 0 0 0 0 1 122 0.0 1.1987690746268651E-4 0.0
56 9922 0 0 0 0 0 1 127 0.0 9.160554726368154E-5 0.0
57 9924 0 0 0 0 0 0 126 0.0 6.933591741293528E-5 NaN
58 9920 0 0 0 0 0 0 130 0.0 5.338392437810943E-5 NaN
59 9912 0 0 0 0 0 0 138 0.0 4.027485074626863E-5 NaN
60 9913 0 0 0 0 0 0 137 0.0 3.0956356218905454E-5 NaN
61 9910 0 0 0 0 0 0 140 0.0 2.3849027860696506E-5 NaN
62 9900 0 0 0 0 0 0 150 0.0 1.8636989054726356E-5 NaN
63 9897 0 0 0 0 0 0 153 0.0 1.4530533333333324E-5 NaN
